"time","symbol","CCI"
2021-01-19,"baba",2.1303
2021-01-15,"baba",-11.7591
2021-01-14,"baba",-12.8616
2021-01-13,"baba",-33.3688
2021-01-12,"baba",-48.7493
2021-01-11,"baba",-45.34
2021-01-08,"baba",-31.7923
2021-01-07,"baba",-48.9952
2021-01-06,"baba",-37.4101
2021-01-05,"baba",-23.8347
2021-01-04,"baba",-41.5478
2020-12-31,"baba",-27.0144
2020-12-30,"baba",-16.5368
2020-12-29,"baba",-23.6807
2020-12-28,"baba",-51.9103
2020-12-24,"baba",-51.0421
2020-12-23,"baba",19.324
2020-12-22,"baba",22.1195
2020-12-21,"baba",26.3953
2020-12-18,"baba",32.6163
2020-12-17,"baba",36.5814
2020-12-16,"baba",32.118
2020-12-15,"baba",20.0076
2020-12-14,"baba",26.7978
2020-12-11,"baba",39.8303
2020-12-10,"baba",40.1379
2020-12-09,"baba",42.2907
2020-12-08,"baba",45.0211
2020-12-07,"baba",41.7587
2020-12-04,"baba",50.0725
2020-12-03,"baba",46.6016
2020-12-02,"baba",37.999
2020-12-01,"baba",42.6803
2020-11-30,"baba",45.4086
2020-11-27,"baba",69.0762
2020-11-25,"baba",69.7964
2020-11-24,"baba",71.9733
2020-11-23,"baba",59.0756
2020-11-20,"baba",54.9943
2020-11-19,"baba",36.0329
2020-11-18,"baba",31.1187
2020-11-17,"baba",35.9364
2020-11-16,"baba",39.0804
2020-11-13,"baba",43.1073
2020-11-12,"baba",53.3745
2020-11-11,"baba",54.106
2020-11-10,"baba",62.5294
2020-11-09,"baba",111.3424
2020-11-06,"baba",116.4308
2020-11-05,"baba",97.0144
2020-11-04,"baba",112.5114
2020-11-03,"baba",101.0924
2020-11-02,"baba",147.3938
2020-10-30,"baba",141.8599
2020-10-29,"baba",158.9123
2020-10-28,"baba",155.2103
2020-10-27,"baba",168.4034
2020-10-26,"baba",159.9805
2020-10-23,"baba",162.1654
2020-10-22,"baba",163.8666
2020-10-21,"baba",172.5118
2020-10-20,"baba",175.278
2020-10-19,"baba",174.195
2020-10-16,"baba",176.0831
2020-10-15,"baba",157.4997
2020-10-14,"baba",176.4236
2020-10-13,"baba",188.3216
2020-10-12,"baba",188.8642
2020-10-09,"baba",178.7923
2020-10-08,"baba",181.1913
2020-10-07,"baba",177.1187
2020-10-06,"baba",169.8183
2020-10-05,"baba",161.8403
2020-10-02,"baba",168.3172
2020-10-01,"baba",178.4646
2020-09-30,"baba",181.2671
2020-09-29,"baba",145.9658
2020-09-28,"baba",146.7408
2020-09-25,"baba",128.634
2020-09-24,"baba",131.7399
2020-09-23,"baba",147.9168
2020-09-22,"baba",150.1498
2020-09-21,"baba",145.7383
2020-09-18,"baba",154.3751
2020-09-17,"baba",161.1548
2020-09-16,"baba",180.8276
2020-09-15,"baba",176.3003
2020-09-14,"baba",169.4882
2020-09-11,"baba",164.1454
2020-09-10,"baba",164.7366
2020-09-09,"baba",176.1983
2020-09-08,"baba",169.3962
2020-09-04,"baba",197.3752
2020-09-03,"baba",223.0521
2020-09-02,"baba",267.0683
2020-09-01,"baba",274.0114
2020-08-31,"baba",250.8152
2020-08-28,"baba",259.3001
2020-08-27,"baba",258.5756
2020-08-26,"baba",279.641
2020-08-25,"baba",263.9852
2020-08-24,"baba",235.2964
2020-08-21,"baba",196.2224
2020-08-20,"baba",172.0478
2020-08-19,"baba",185.4616
2020-08-18,"baba",184.6657
2020-08-17,"baba",170.7495
2020-08-14,"baba",168.9489
2020-08-13,"baba",174.149
2020-08-12,"baba",171.4439
2020-08-11,"baba",158.6507
2020-08-10,"baba",156.0487
2020-08-07,"baba",173.438
2020-08-06,"baba",221.0987
2020-08-05,"baba",227.2768
2020-08-04,"baba",218.0044
2020-08-03,"baba",205.9542
2020-07-31,"baba",182.024
2020-07-30,"baba",188.2095
2020-07-29,"baba",191.4602
2020-07-28,"baba",183.0362
2020-07-27,"baba",185.5358
2020-07-24,"baba",174.4293
2020-07-23,"baba",201.6879
2020-07-22,"baba",203.1961
2020-07-21,"baba",232.6081
2020-07-20,"baba",219.0152
2020-07-17,"baba",184.5383
2020-07-16,"baba",169.8127
2020-07-15,"baba",200.1432
2020-07-14,"baba",189.5976
2020-07-13,"baba",233.0411
2020-07-10,"baba",251.6941
2020-07-09,"baba",265.4609
2020-07-08,"baba",232.3317
2020-07-07,"baba",166.6467
2020-07-06,"baba",167.6244
2020-07-02,"baba",102.1273
2020-07-01,"baba",70.6634
2020-06-30,"baba",67.9238
2020-06-29,"baba",65.9992
2020-06-26,"baba",78.7008
2020-06-25,"baba",103.484
2020-06-24,"baba",124.745
2020-06-23,"baba",128.8382
2020-06-22,"baba",99.5128
2020-06-19,"baba",106.734
2020-06-18,"baba",115.4044
2020-06-17,"baba",115.2826
2020-06-16,"baba",110.116
2020-06-15,"baba",81.4883
2020-06-12,"baba",87.3083
2020-06-11,"baba",84.6892
2020-06-10,"baba",115.2101
2020-06-09,"baba",99.2961
2020-06-08,"baba",95.9537
2020-06-05,"baba",102.7753
2020-06-04,"baba",97.2661
