"time","symbol","RSI"
2021-07-30,"tcehy",48.4455
2021-07-29,"tcehy",48.5898
2021-07-28,"tcehy",48.5423
2021-07-27,"tcehy",47.9779
2021-07-26,"tcehy",48.2159
2021-07-23,"tcehy",49.4964
2021-07-22,"tcehy",50.0383
2021-07-21,"tcehy",50.0879
2021-07-20,"tcehy",50.08
2021-07-19,"tcehy",50.1037
2021-07-16,"tcehy",50.3991
2021-07-15,"tcehy",50.6289
2021-07-14,"tcehy",50.474
2021-07-13,"tcehy",50.3052
2021-07-12,"tcehy",49.8025
2021-07-09,"tcehy",50.2711
2021-07-08,"tcehy",49.6655
2021-07-07,"tcehy",50.1039
2021-07-06,"tcehy",50.4469
2021-07-02,"tcehy",50.9667
2021-07-01,"tcehy",51.0833
2021-06-30,"tcehy",51.1937
2021-06-29,"tcehy",51.4601
2021-06-28,"tcehy",51.5628
2021-06-25,"tcehy",51.7022
2021-06-24,"tcehy",51.2621
2021-06-23,"tcehy",51.1494
2021-06-22,"tcehy",51.0017
2021-06-21,"tcehy",51.3739
2021-06-18,"tcehy",51.6588
2021-06-17,"tcehy",51.8482
2021-06-16,"tcehy",51.5176
2021-06-15,"tcehy",51.536
2021-06-14,"tcehy",51.6361
2021-06-11,"tcehy",51.6442
2021-06-10,"tcehy",51.8884
2021-06-09,"tcehy",51.6857
2021-06-08,"tcehy",51.7384
2021-06-07,"tcehy",51.8213
2021-06-04,"tcehy",52.1356
2021-06-03,"tcehy",51.911
2021-06-02,"tcehy",52.4911
2021-06-01,"tcehy",52.4953
