"time","symbol","OBV"
2020-12-15,"baba",877654823
2020-12-14,"baba",894250464
2020-12-11,"baba",912620357
2020-12-10,"baba",920391647
2020-12-09,"baba",910101393
2020-12-08,"baba",919162123
2020-12-07,"baba",909714469
2020-12-04,"baba",921103181
2020-12-03,"baba",905575614
2020-12-02,"baba",890055126
2020-12-01,"baba",903974794
2020-11-30,"baba",889898471
2020-11-27,"baba",920374595
2020-11-25,"baba",929957792
2020-11-24,"baba",945187093
2020-11-23,"baba",925611913
2020-11-20,"baba",950929036
2020-11-19,"baba",916750616
2020-11-18,"baba",895997788
2020-11-17,"baba",924304910
2020-11-16,"baba",944044371
2020-11-13,"baba",964908531
2020-11-12,"baba",998828489
2020-11-11,"baba",1026009537
2020-11-10,"baba",1067708521
2020-11-09,"baba",1128772499
2020-11-06,"baba",1151332368
2020-11-05,"baba",1126072801
2020-11-04,"baba",1175958653
2020-11-03,"baba",1147167455
2020-11-02,"baba",1205299941
2020-10-30,"baba",1193442303
2020-10-29,"baba",1208366157
2020-10-28,"baba",1197191642
2020-10-27,"baba",1210836093
2020-10-26,"baba",1197660223
2020-10-23,"baba",1207010341
2020-10-22,"baba",1200778903
2020-10-21,"baba",1208791986
2020-10-20,"baba",1219931646
2020-10-19,"baba",1211125528
2020-10-16,"baba",1225232812
2020-10-15,"baba",1212886348
2020-10-14,"baba",1222596246
2020-10-13,"baba",1237782638
2020-10-12,"baba",1226884103
2020-10-09,"baba",1212104034
2020-10-08,"baba",1223546280
2020-10-07,"baba",1208440475
2020-10-06,"baba",1191771178
2020-10-05,"baba",1175910787
2020-10-02,"baba",1158034376
2020-10-01,"baba",1169517128
2020-09-30,"baba",1185821146
2020-09-29,"baba",1161043411
2020-09-28,"baba",1153364105
2020-09-25,"baba",1144602427
2020-09-24,"baba",1133135867
2020-09-23,"baba",1142697999
2020-09-22,"baba",1150051200
2020-09-21,"baba",1140377898
2020-09-18,"baba",1131301467
2020-09-17,"baba",1143054937
2020-09-16,"baba",1151071850
2020-09-15,"baba",1141480608
2020-09-14,"baba",1133189248
2020-09-11,"baba",1125305977
2020-09-10,"baba",1115893173
2020-09-09,"baba",1126569931
2020-09-08,"baba",1117104267
2020-09-04,"baba",1129838315
2020-09-03,"baba",1145724159
2020-09-02,"baba",1162490407
2020-09-01,"baba",1175128960
2020-08-31,"baba",1161313038
2020-08-28,"baba",1174566834
2020-08-27,"baba",1164877224
2020-08-26,"baba",1179683022
2020-08-25,"baba",1160152771
2020-08-24,"baba",1132617305
2020-08-21,"baba",1110141548
2020-08-20,"baba",1084493331
2020-08-19,"baba",1105954098
2020-08-18,"baba",1091857586
2020-08-17,"baba",1078589757
2020-08-14,"baba",1068895551
2020-08-13,"baba",1061019129
2020-08-12,"baba",1069813631
2020-08-11,"baba",1058693237
2020-08-10,"baba",1048011479
2020-08-07,"baba",1061633191
2020-08-06,"baba",1084162833
2020-08-05,"baba",1073803360
2020-08-04,"baba",1063074188
2020-08-03,"baba",1052079731
2020-07-31,"baba",1040545200
2020-07-30,"baba",1052855870
2020-07-29,"baba",1045822970
2020-07-28,"baba",1034329395
2020-07-27,"baba",1044208130
2020-07-24,"baba",1025241268
2020-07-23,"baba",1042462736
2020-07-22,"baba",1016750779
2020-07-21,"baba",1036432991
2020-07-20,"baba",1019233102
2020-07-17,"baba",1000232105
2020-07-16,"baba",981490105
2020-07-15,"baba",999506205
2020-07-14,"baba",986909005
2020-07-13,"baba",1006640505
2020-07-10,"baba",1028163205
2020-07-09,"baba",1048495905
2020-07-08,"baba",1011801505
2020-07-07,"baba",971922605
2020-07-06,"baba",988400305
2020-07-02,"baba",954807705
2020-07-01,"baba",936686905
2020-06-30,"baba",924908305
2020-06-29,"baba",911981405
2020-06-26,"baba",924305905
2020-06-25,"baba",943628474
2020-06-24,"baba",958562313
2020-06-23,"baba",970708762
2020-06-22,"baba",952456276
2020-06-19,"baba",939185927
2020-06-18,"baba",958724579
2020-06-17,"baba",969034026
2020-06-16,"baba",956558627
2020-06-15,"baba",939372435
2020-06-12,"baba",956760830
2020-06-11,"baba",944055283
2020-06-10,"baba",959599287
2020-06-09,"baba",946345699
2020-06-08,"baba",932222684
2020-06-05,"baba",944933914
2020-06-04,"baba",932959971
2020-06-03,"baba",947907019
2020-06-02,"baba",927926089
2020-06-01,"baba",905475160
2020-05-29,"baba",921612652
2020-05-28,"baba",878438551
2020-05-27,"baba",897198021
2020-05-26,"baba",920776415
2020-05-22,"baba",892162177
2020-05-21,"baba",944065857
2020-05-20,"baba",973770599
2020-05-19,"baba",1012036963
2020-05-18,"baba",990655891
