"time","symbol","AD"
2020-10-09,"baba",722036683.1225
2020-10-08,"baba",724080780.4572
2020-10-07,"baba",716727189.1326
2020-10-06,"baba",715170718.6296
2020-10-05,"baba",713525582.403
2020-10-02,"baba",707729714.7741
2020-10-01,"baba",712242280.5307
2020-09-30,"baba",720549777.4407
2020-09-29,"baba",700249153.1051
2020-09-28,"baba",700842554.0232
2020-09-25,"baba",702766079.419
2020-09-24,"baba",693577015.4742
2020-09-23,"baba",691437609.913
2020-09-22,"baba",695422045.842
2020-09-21,"baba",688926894.1003
2020-09-18,"baba",680778998.241
2020-09-17,"baba",686026083.0624
2020-09-16,"baba",678815632.9344
2020-09-15,"baba",687927740.6329
2020-09-14,"baba",684032729.6562
2020-09-11,"baba",683771694.1926
2020-09-10,"baba",682934674.1801
2020-09-09,"baba",693281223.1698
2020-09-08,"baba",693718711.8421
2020-09-04,"baba",694615961.8366
2020-09-03,"baba",683363085.1533
2020-09-02,"baba",688554816.1062
2020-09-01,"baba",683957731.1388
2020-08-31,"baba",670141809.1388
2020-08-28,"baba",667149016.4936
2020-08-27,"baba",659093404.8073
2020-08-26,"baba",666378220.7557
2020-08-25,"baba",649271771.7891
2020-08-24,"baba",634872491.4038
2020-08-21,"baba",620378778.9459
2020-08-20,"baba",603898674.6016
2020-08-19,"baba",590748247.1633
2020-08-18,"baba",581699079.6134
2020-08-17,"baba",579421765.6806
2020-08-14,"baba",570831289.5818
2020-08-13,"baba",569820513.8772
2020-08-12,"baba",575002262.5801
2020-08-11,"baba",566556774.1639
2020-08-10,"baba",574742596.6312
2020-08-07,"baba",578575790.1229
2020-08-06,"baba",581074170.4429
2020-08-05,"baba",570778448.0459
2020-08-04,"baba",565468511.9389
2020-08-03,"baba",556590634.8961
2020-07-31,"baba",554457180.2901
2020-07-30,"baba",555356054.6075
2020-07-29,"baba",552038648.9471
2020-07-28,"baba",550670366.2091
2020-07-27,"baba",557256189.5424
2020-07-24,"baba",549089155.4801
2020-07-23,"baba",534045896.8714
2020-07-22,"baba",541469973.6417
2020-07-21,"baba",548758588.8801
2020-07-20,"baba",557167423.5023
2020-07-17,"baba",558907972.8458
2020-07-16,"baba",548749265.5995
2020-07-15,"baba",552051520.5879
2020-07-14,"baba",553361967.5677
2020-07-13,"baba",539049682.3564
2020-07-10,"baba",557727592.9038
2020-07-09,"baba",543241775.941
2020-07-08,"baba",545518103.4844
2020-07-07,"baba",510103876.463
2020-07-06,"baba",524159322.6912
2020-07-02,"baba",494776761.3335
2020-07-01,"baba",487031580.6884
2020-06-30,"baba",483061997.263
2020-06-29,"baba",475466530.5963
2020-06-26,"baba",470937013.5023
2020-06-25,"baba",480510067.0936
2020-06-24,"baba",485357700.6957
2020-06-23,"baba",490451696.5995
2020-06-22,"baba",481653966.2975
2020-06-19,"baba",475132105.973
2020-06-18,"baba",491317791.1711
2020-06-17,"baba",497516719.11
2020-06-16,"baba",492526559.51
2020-06-15,"baba",491439165.4762
2020-06-12,"baba",478878936.4923
2020-06-11,"baba",474583466.866
2020-06-10,"baba",481954097.8707
2020-06-09,"baba",476652662.6707
2020-06-08,"baba",462529647.6707
2020-06-05,"baba",456838426.3492
2020-06-04,"baba",458042156.0688
2020-06-03,"baba",459016963.547
2020-06-02,"baba",441792023.8919
2020-06-01,"baba",420797371.3675
2020-05-29,"baba",410897069.527
2020-05-28,"baba",371507460.3857
2020-05-27,"baba",375496316.112
2020-05-26,"baba",365596413.5031
2020-05-22,"baba",387106426.8962
2020-05-21,"baba",426496825.8096
2020-05-20,"baba",425261579.1126
2020-05-19,"baba",418595517.2915
2020-05-18,"baba",424059569.0248
2020-05-15,"baba",402262128.6954
2020-05-14,"baba",391431716.0383
2020-05-13,"baba",373857559.7075
2020-05-12,"baba",386355368.1075
2020-05-11,"baba",402833276.252
2020-05-08,"baba",395361153.8107
2020-05-07,"baba",391629410.9535
2020-05-06,"baba",391092851.591
2020-05-05,"baba",407421814.9076
2020-05-04,"baba",421122181.1779
2020-05-01,"baba",431582479.2766
2020-04-30,"baba",437887575.489
2020-04-29,"baba",439649460.2258
2020-04-28,"baba",423742044.9348
2020-04-27,"baba",430558102.2811
2020-04-24,"baba",437857787.2046
2020-04-23,"baba",440249767.0959
2020-04-22,"baba",450422593.2987
2020-04-21,"baba",456650693.417
2020-04-20,"baba",461574922.0367
2020-04-17,"baba",465005899.5442
2020-04-16,"baba",475689662.4147
2020-04-15,"baba",464052661.7004
2020-04-14,"baba",455998970.4504
2020-04-13,"baba",467971456.6923
2020-04-09,"baba",457815727.3388
2020-04-08,"baba",460403372.3345
2020-04-07,"baba",462543438.7032
2020-04-06,"baba",470900857.4532
2020-04-03,"baba",460389061.5394
2020-04-02,"baba",463597567.3759
2020-04-01,"baba",461668615.6511
2020-03-31,"baba",468055615.1339
2020-03-30,"baba",463226771.7138
2020-03-27,"baba",452135444.432
2020-03-26,"baba",462154464.3391
2020-03-25,"baba",450269606.4309
2020-03-24,"baba",455014077.2774
2020-03-23,"baba",450872701.8338
2020-03-20,"baba",439779003.4023
